reclat,reclon
42.92159, -78.87701,
42.92171, -78.87701,
42.92183, -78.87701,
42.92195, -78.87701,
42.92208, -78.87701,
42.92220, -78.87701,
42.92232, -78.87701,
42.92243, -78.87701,
42.92256, -78.87701,
42.92268, -78.87701,
42.92279, -78.87701,
42.92289, -78.87701,
42.92297, -78.87701,
42.92302, -78.87701,
42.92304, -78.87701,
42.92307, -78.87701,
42.92310, -78.87701,
42.92312, -78.87701,
42.92316, -78.87701,
42.92322, -78.87701,
42.92329, -78.87701,
42.92336, -78.87701,
42.92345, -78.87701,
42.92354, -78.87701,
42.92364, -78.87701,
42.92371, -78.87701,
42.92386, -78.87701,
42.92398, -78.87701,
42.92409, -78.87701,
42.92420, -78.87701,
42.92425, -78.87701,
42.92469, -78.87702,
42.92480, -78.87701,
42.92492, -78.87701,
42.92504, -78.87701,
42.92516, -78.87701,
42.92527, -78.87701,
42.92537, -78.87701,
42.92546, -78.87701,
42.92556, -78.87701,
42.92564, -78.87701,
42.92570, -78.87701,
42.92575, -78.87701,
42.92581, -78.87701,
42.92585, -78.87701,
42.92589, -78.87701,
42.92594, -78.87701,
42.92597, -78.87701,
42.92594, -78.87701,
42.92592, -78.87701,
42.92590, -78.87701,
42.92588, -78.87701,
42.92593, -78.87701,
42.92598, -78.87701,
42.92604, -78.87701,
42.92611, -78.87701,
42.92618, -78.87701,
42.92626, -78.87701,
42.92637, -78.87703,
42.92647, -78.87703,
42.92656, -78.87703,
42.92666, -78.87703,
42.92675, -78.87701,
42.92685, -78.87701,
42.92696, -78.87701,
